sudo	1.9.9-1ubuntu2.6	install ok installed
systemd	249.11-0ubuntu3.20	install ok installed
systemd-sysv	249.11-0ubuntu3.20	install ok installed
systemd-timesyncd	249.11-0ubuntu3.20	install ok installed
sysvinit-utils	3.01-1ubuntu1	install ok installed
tar	1.34+dfsg-1ubuntu0.1.22.04.2	install ok installed
ubuntu-keyring	2021.03.26	install ok installed
ucf	3.0043	install ok installed
usrmerge	25ubuntu2	install ok installed
util-linux	2.37.2-4ubuntu3.5	install ok installed
vim	2:8.2.3995-1ubuntu2.30	install ok installed
vim-common	2:8.2.3995-1ubuntu2.30	install ok installed
vim-runtime	2:8.2.3995-1ubuntu2.30	install ok installed
wget	1.21.2-2ubuntu1.1	install ok installed
xauth	1:1.1-1build2	install ok installed
xdg-user-dirs	0.17-2ubuntu4	install ok installed
xxd	2:8.2.3995-1ubuntu2.30	install ok installed
xz-utils	5.2.5-2ubuntu1	install ok installed
zlib1g	1:1.2.11.dfsg-2ubuntu9.2	install ok installed
zlib1g-dev	1:1.2.11.dfsg-2ubuntu9.2	install ok installed
zsh	5.8.1-1	install ok installed
zsh-common	5.8.1-1	install ok installed
